run_id,track,context,fold_id,tier_group,feature_name,mean_abs_shap,mean_signed_shap,rank,n_obs
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_temp_c_sq,0.00938649690463344,-0.0005323136120963911,22,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_capacity_bucket__medium,0.009068752166591735,-0.00330965595610722,23,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_parking_id__p_grote_markt,0.008489928675686596,-0.008489928675686596,24,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_is_any_holiday,0.008133930503704478,0.003113568962611937,25,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_weekday_cos,0.00803197813677448,-0.0009438165101693065,26,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_wind_speed_ms,0.007902564724215268,-0.0015218450452780033,27,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_is_kermis_day,0.007673348985834964,-0.0011043921618895342,28,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_weekday_sin,0.00728307584395957,0.001051700867540665,29,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_int_temp_x_season__winter,0.007157223783224604,0.0008148939810762177,30,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_is_other_holiday,0.006852854834138015,-0.0021386601469219973,31,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_parking_id__p_veemarkt,0.006653338884187555,-0.006653338884187555,32,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_wind_gusts_ms,0.006488938342639464,0.0009080915435357023,33,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_log_total_capacity,0.005637703585455903,-0.0020246504583394153,34,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_sun_intensity_log1p,0.005391251508510461,-0.0009501714875797197,35,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_temp_c,0.005318741043138814,-0.00019936486642601597,36,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_parking_id__p_lamot,0.005220516591293762,-0.005220516591293762,37,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_month_cos,0.005140887295447775,-5.4486787801261224e-05,38,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_is_weekend,0.005112581556854982,0.0007756615737910004,39,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_season__herfst,0.004833196373234908,0.0006304239373865744,40,15000
