run_id,track,context,fold_id,feature_name,mean_abs_shap,mean_signed_shap,rank,n_obs
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_day_class_5__weekday_regular,0.00010045046700123914,3.20627172900165e-05,76,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_day_class_5__holiday,8.753082030003185e-05,-3.102840393901043e-05,77,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_precip_x_season__lente,1.8389624643453705e-05,-1.8389624643453705e-05,78,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_precip_x_season__zomer,1.3155718927953968e-06,-1.3155718927953968e-06,79,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_carnival_day,1.442221420701409e-18,-1.442221420701409e-18,80,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_parking_id__p_maarten,0.0,0.0,81,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_parking_id__p_komet,0.0,0.0,82,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,s_parking_id__p_hoogstraat,0.06258423761726699,-0.03332524539015948,1,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_season__zomer,0.062004875932306205,-0.029187215847814082,2,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_month_cos,0.051764529177106555,0.051764529177106555,3,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_int_temp_x_season__lente,0.04866220047456651,-0.035955730742325887,4,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_int_temp_x_season__zomer,0.035189398280479754,0.012467023638969761,5,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,s_parking_id__p_tinel,0.027050572439903477,0.004540414477713016,6,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_season__winter,0.023522669441371012,-0.023522669441371012,7,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_season__lente,0.02128844573626902,0.015191141962529806,8,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,s_capacity_bucket__large,0.02072660335175056,0.0021623405649205825,9,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,s_capacity_bucket__medium,0.020234460558988223,0.002140096379692627,10,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_event_scale_is_large,0.018715380049418473,0.008077155034787394,11,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_month_sin,0.01814297184556199,-0.014697318009327116,12,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_is_2020_regime,0.017711434497923454,0.017711434497923454,13,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_sun_intensity_log1p,0.016110499427704008,0.00022569164479621325,14,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,s_parking_id__p_veemarkt,0.01588139613821445,-0.01588139613821445,15,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,s_parking_id__p_bruul,0.015386889216261765,0.015386889216261765,16,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_sun_duration_ratio,0.012411321914977257,0.0001094986366770875,17,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_event_scale_max,0.011389066791128086,-0.005086792022090135,18,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_hour_cos,0.009554765683301391,0.0037468059685549747,19,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_int_event_x_tier_centrum,0.00880814255445198,-0.001185879202936941,20,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,s_parking_id__p_grote_markt,0.008559760962758628,-0.00021586744511089298,21,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_int_wind_x_season__zomer,0.007822219882759099,0.0037417964032895974,22,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_temp_c,0.007415682009308508,0.005015452875160465,23,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,s_log_total_capacity,0.006373712126732661,0.0007206728979593018,24,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_is_any_holiday,0.006077107364731201,0.0023794072487705034,25,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_is_other_holiday,0.00565450270101072,0.0003604217711442774,26,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_football_kickoff_hour_sin,0.005490799094990808,0.003400660819603879,27,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_wind_speed_ms,0.005366459417838601,-0.0028908077410866526,28,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_is_national_holiday,0.00515815334457683,-0.0026755277978404313,29,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_is_event_day,0.00515336419775574,0.0022744135973643293,30,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_n_concurrent_events_capped,0.005153363692922964,0.0022744133745592004,31,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_day_class_5__event_day,0.005153363641507373,0.002274413351866195,32,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_temp_c_sq,0.005033261442813914,-0.0026038495181045997,33,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,s_parking_id__p_lamot,0.005006350120635966,-0.005006350120635966,34,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_is_school_vacation,0.004815549853286926,0.00023544891202377548,35,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_has_football_kickoff,0.0043056772696906855,-0.0043056772696906855,36,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_is_football_day,0.0043056766495908495,-0.0043056766495908495,37,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_weekday_cos,0.004203738096572717,-0.00021570455834507687,38,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_int_temp_x_season__winter,0.00335957347197142,0.00335957347197142,39,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_int_wind_x_season__lente,0.0033581500501739833,0.002202025979777826,40,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_int_wind_x_season__herfst,0.00316219383917996,0.00316219383917996,41,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_int_holiday_x_tier_centrum,0.0031388407803422495,0.0005383248102792451,42,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_n_concurrent_events,0.0031004710527834617,-0.0016298228418678772,43,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,t_day_class_5__weekend_regular,0.0024612148661224765,0.0010869398864164742,44,10000
P4_ridge_a1_0,policy,fold_cv_fold_2,cv_fold_2,e_int_temp_x_season__herfst,0.002261420012774496,0.002261420012774496,45,10000
