run_id,cv_mode,fold_id,track,variant,model_family,model_key,n_train,n_valid,mae,rmse,mape,mae_tier_centrum,mae_tier_vesten_rand,mae_event,mae_non_event,fit_status
P2_rf_90_d12_l2,fold_safe,cv_fold_2,policy,P2,random_forest,rf_90_d12_l2,82114,10725,0.325151907586861,0.4247573388437433,694.1077017184696,0.3263982731043628,0.3241206670087406,0.325205580505866,0.3251172918469199,ok
P2_rf_90_d12_l2,fold_safe,cv_fold_3,policy,P2,random_forest,rf_90_d12_l2,107789,22048,0.3390199979983914,0.4198898106101856,1476554.4540212224,0.4306608163797196,0.2475120887082616,0.3565316610392491,0.3328664972804486,ok
P2_rf_90_d12_l2,fixed_export,cv_fold_1,policy,P2,random_forest,rf_90_d12_l2,61192,11529,0.1389470399802508,0.1790319911603391,150579.5636989988,0.1142233148111076,0.184430168869002,0.1387411788464765,0.1390694008090382,ok
P2_rf_90_d12_l2,fixed_export,cv_fold_2,policy,P2,random_forest,rf_90_d12_l2,82114,10725,0.3250421722749064,0.424695795089117,693.696885056252,0.3263318579785493,0.3239750886530134,0.3251976619083397,0.3249418910005832,ok
P2_rf_90_d12_l2,fixed_export,cv_fold_3,policy,P2,random_forest,rf_90_d12_l2,107789,22048,0.3390212147891515,0.4198431812130632,1477413.8203152458,0.4304753627127495,0.2476997052236733,0.356546990074599,0.3328627551071735,ok
P2_xgb_80_d4_lr006,fold_safe,cv_fold_1,policy,P2,xgboost,xgb_80_d4_lr006,61192,11529,0.1747522611882563,0.2161485918656807,152797.38357970808,0.1852514091067524,0.1554374494140575,0.1792463093462099,0.1720810650904988,ok
P2_xgb_80_d4_lr006,fold_safe,cv_fold_2,policy,P2,xgboost,xgb_80_d4_lr006,82114,10725,0.2700194586814,0.3254291429721688,574.6008555306743,0.2432363259507226,0.2921797743297505,0.2754491084749904,0.2665176676718835,ok
P2_xgb_80_d4_lr006,fold_safe,cv_fold_3,policy,P2,xgboost,xgb_80_d4_lr006,107789,22048,0.2374117934464134,0.2931447443367974,1333241.2706047616,0.3049945076473522,0.1699270962348888,0.2379296996551623,0.237229804093379,ok
P2_xgb_80_d4_lr006,fixed_export,cv_fold_1,policy,P2,xgboost,xgb_80_d4_lr006,61192,11529,0.1747825396795332,0.2161928187591704,152853.33422765837,0.1853020048284813,0.1554303512072442,0.1792463093462099,0.1721293406714601,ok
P2_xgb_80_d4_lr006,fixed_export,cv_fold_2,policy,P2,xgboost,xgb_80_d4_lr006,82114,10725,0.2700194586814,0.3254291429721688,574.6008555306743,0.2432363259507226,0.2921797743297505,0.2754491084749904,0.2665176676718835,ok
P2_xgb_80_d4_lr006,fixed_export,cv_fold_3,policy,P2,xgboost,xgb_80_d4_lr006,107789,22048,0.2374117934464134,0.2931447443367974,1333241.2706047616,0.3049945076473522,0.1699270962348888,0.2379296996551623,0.237229804093379,ok
P3_ridge_a1_0,fold_safe,cv_fold_1,policy,P3,ridge,ridge_a1_0,61192,11529,0.2102062340317324,0.2687740499375997,98503.72426166917,0.2216554717107745,0.1891435847152879,0.2136351671223434,0.2081681266574487,ok
P3_ridge_a1_0,fold_safe,cv_fold_2,policy,P3,ridge,ridge_a1_0,82114,10725,0.2375636238460194,0.2858191009221663,500.51486781150976,0.2063282976861442,0.2634076762965823,0.2472008755690832,0.2313481877270802,ok
P3_ridge_a1_0,fold_safe,cv_fold_3,policy,P3,ridge,ridge_a1_0,107789,22048,0.2203836192907001,0.2753446203165942,740551.5632179109,0.2799789586211123,0.1608747126496721,0.2188552678339654,0.2209206734679272,ok
P3_ridge_a1_0,fixed_export,cv_fold_1,policy,P3,ridge,ridge_a1_0,61192,11529,0.2102482500611355,0.268763933398357,98047.47934522683,0.2216738044198408,0.1892291698874482,0.2137168533468458,0.2081865633066088,ok
P3_ridge_a1_0,fixed_export,cv_fold_2,policy,P3,ridge,ridge_a1_0,82114,10725,0.2377021750203029,0.2860020006573829,502.0142002279126,0.2062538483867047,0.2637224636781241,0.2474002145162267,0.2314475345171802,ok
P3_ridge_a1_0,fixed_export,cv_fold_3,policy,P3,ridge,ridge_a1_0,107789,22048,0.2203682362517757,0.275325227363063,740739.917866713,0.2799629860983419,0.1608599182396497,0.2188496435585471,0.2209018612539381,ok
P3_rf_90_d12_l2,fold_safe,cv_fold_1,policy,P3,random_forest,rf_90_d12_l2,61192,11529,0.1387565072547675,0.1784018979955183,152041.705050081,0.1155130429309368,0.1815164666229181,0.1382352588208912,0.1390663296539931,ok
P3_rf_90_d12_l2,fold_safe,cv_fold_2,policy,P3,random_forest,rf_90_d12_l2,82114,10725,0.3232544270578383,0.4191800425279691,671.4418079604749,0.3278592669122662,0.3194443908790852,0.3219896785469887,0.3240701122554032,ok
P3_rf_90_d12_l2,fold_safe,cv_fold_3,policy,P3,random_forest,rf_90_d12_l2,107789,22048,0.3181559173583615,0.4018021700975976,1346911.8266068571,0.4292866233467728,0.2071863871581856,0.3320333264437988,0.3132794732096142,ok
P3_rf_90_d12_l2,fixed_export,cv_fold_1,policy,P3,random_forest,rf_90_d12_l2,61192,11529,0.1391573397584026,0.1787657270849487,152286.87838725263,0.1159617206169587,0.1818292804893003,0.1389239305454323,0.1392960747601101,ok
P3_rf_90_d12_l2,fixed_export,cv_fold_2,policy,P3,random_forest,rf_90_d12_l2,82114,10725,0.3229325647815286,0.41900350373111,669.3656615596117,0.3279795459894589,0.3187567016454392,0.3212889272260413,0.3239926101681582,ok
P3_rf_90_d12_l2,fixed_export,cv_fold_3,policy,P3,random_forest,rf_90_d12_l2,107789,22048,0.3182532656959066,0.4018844032311203,1347993.2967363058,0.4295168675341039,0.2071510323882942,0.3318613758293474,0.313471451696825,ok
P3_xgb_80_d4_lr006,fold_safe,cv_fold_1,policy,P3,xgboost,xgb_80_d4_lr006,61192,11529,0.1761171833756756,0.2178992990925061,153903.33497385614,0.1885701607239584,0.1532079991849554,0.1778885379081728,0.1750643163060209,ok
P3_xgb_80_d4_lr006,fold_safe,cv_fold_2,policy,P3,xgboost,xgb_80_d4_lr006,82114,10725,0.2630526939876643,0.3156476999694483,556.4061415923925,0.2399241692273191,0.2821891936019488,0.2684392792437568,0.2595786769628377,ok
P3_xgb_80_d4_lr006,fold_safe,cv_fold_3,policy,P3,xgboost,xgb_80_d4_lr006,107789,22048,0.2276149249893008,0.2856782239339233,1198242.580509956,0.2971059400133694,0.1582246946135631,0.2341327242244048,0.2253246066923439,ok
